block_height,elapsed_time
517,9.317290507s
518,10.089691265s
519,463.463883ms
520,3.453905601s
521,53.513115848s
522,11.315627406s
523,5.756700591s
524,271.331736ms
525,6.291901298s
526,20.804015822s
527,57.96615261s
528,446.7948ms
529,4.318001989s
530,3.968925461s
531,11.011849103s
532,31.742136477s
533,3.617783189s
534,385.015671ms
535,2.822435292s
536,15.6167149s
537,2.198382301s
538,6.841091576s
539,42.458730653s
540,12.476266805s
541,7.320231008s
542,31.976187675s
543,5.353588146s
544,4.879893098s
545,22.605671298s
546,3.006394691s
547,11.389109521s
548,1m19.557326293s
549,15.366475942s
550,74.034567ms
551,791.0265ms
552,1.419002488s
553,6.663943566s
554,14.844059476s
555,12.548569358s
556,12.822810569s
557,3.242495694s
558,1.321596184s
559,4.375267736s
560,20.780054469s
561,5.39592406s
562,29.577544194s
563,27.56571864s
564,11.37982368s
565,11.909002791s
566,37.031293957s
567,12.583423107s
568,14.609107923s
569,19.968044028s
570,2.597616045s
571,1m11.018353573s
572,15.785120724s
573,26.180651924s
574,22.682487495s
575,1.130553147s
576,4.785314819s
577,2.961243505s
578,16.219877552s
579,13.389080911s
580,6.964455971s
581,21.768084544s
582,347.996678ms
583,10.498852256s
584,374.581838ms
585,21.676664342s
586,34.509561969s
587,9.510282184s
588,1.171121931s
589,6.933444483s
590,7.474301352s
591,6.16350714s
592,14.049638062s
593,14.0084071s
594,30.372378381s
595,4.357147937s
596,18.686299613s
597,3.251245319s
598,6.661793495s
599,35.553663828s
600,3.707690663s
601,13.464863684s
602,12.401708253s
603,14.830629405s
604,23.735269013s
605,1m9.762602948s
606,7.818414846s
607,1.52436742s
608,27.13808125s
609,32.222832399s
610,21.774316639s
611,7.766401676s
612,11.138085706s
613,4.643923284s
614,39.498126623s
615,4.409473s
616,52.423223873s
617,7.903220314s
618,15.047834364s
619,7.007766977s
620,39.76387291s
621,1.723486825s
622,707.235128ms
623,4.515209249s
624,30.782597211s
625,26.75704815s
626,6.766269271s
627,12.803290952s
628,17.707808224s
629,22.088531754s
630,5.389065577s
631,3.084663529s
632,16.527261954s
633,22.755938255s
634,9.521566358s
635,26.237479495s
636,39.529879026s
637,31.223897903s
638,35.483855565s
639,5.686959803s
640,9.545165824s
641,2.298298856s
642,31.780690103s
643,2.215945458s
644,7.576990395s
645,4.169256838s
646,1.797989294s
647,2.535616543s
648,3.847978407s
649,3.465893495s
650,3.952909519s
651,34.543299916s
652,6.306567337s
653,900.64223ms
654,3.055950214s
655,3.081771699s
656,13.301983131s
657,3.727048119s
658,2.992869243s
659,20.043009617s
660,453.718543ms
661,6.757033141s
662,18.162393646s
663,11.659676477s
664,26.761138608s
665,19.326055361s
666,17.22041933s
667,1.346484319s
668,4.143570647s
669,16.544933669s
670,26.782531394s
671,20.356585002s
672,860.417701ms
673,5.520673788s
674,13.287656193s
675,16.766331582s
676,12.25718895s
677,1.98015756s
678,11.600443006s
679,26.703857604s
680,13.389741309s
681,19.6458773s
682,21.313915715s
683,4.397313603s
684,12.632532123s
685,2.335642663s
686,23.321853377s
687,2.786025232s
688,4.827705197s
689,33.308897157s
690,2.241945386s
691,3.615613067s
692,1m2.017855349s
693,6.747825365s
694,35.71938027s
695,25.860373096s
696,481.708007ms
697,1.74879478s
698,8.524712799s
699,2.796461623s
700,26.209822003s
701,23.402169225s
702,923.030744ms
703,20.800572746s
704,4.670146016s
705,11.523518291s
706,25.158439215s
707,11.332562338s
708,3.382387976s
709,1.597188199s
710,2.852719997s
711,4.047508523s
712,47.057773241s
713,5.668274986s
714,133.155187ms
715,3.52836319s
716,44.597897477s
717,8.928043767s
718,44.057369814s
719,28.20037425s
720,9.038889097s
721,35.211007568s
722,13.629349534s
723,3.404838341s
724,11.747978737s
725,9.557827208s
726,18.843152575s
727,1.46961277s
728,6.216336712s
729,8.04038849s
730,3.289872049s
731,11.292345588s
732,3.844610677s
733,16.321136143s
734,4.579654878s
735,5.092439558s
736,46.106271559s
737,10.515242525s
738,21.248935729s
739,19.410403363s
740,4.800260945s
741,18.321426174s
742,1.027987332s
743,23.53254139s
744,13.974055884s
745,13.153541823s
746,5.913511686s
747,10.876160584s
748,28.809411254s
749,14.240779637s
750,14.67605676s
751,7.937368761s
752,34.657115957s
753,16.924690451s
754,13.382821029s
755,373.261235ms
756,26.501163609s
757,4.664643121s
758,5.780661896s
759,464.306709ms
760,4.468341961s
761,4.596862519s
762,6.382999693s
763,10.233103002s
764,21.962531788s
765,24.372707681s
766,14.615309966s
767,24.496901322s
768,18.344952363s
769,5.718786284s
770,4.033342469s
771,1m46.952461288s
772,13.329578843s
773,14.636383004s
774,47.434137154s
775,38.068804326s
776,9.583047976s
777,7.515725602s
778,947.242522ms
779,4.792847942s
780,2.724275625s
781,31.652727539s
782,1.066955808s
783,18.3050189s
784,4.607111151s
785,26.556476397s
786,12.396146364s
787,33.386029555s
788,23.73937261s
789,8.373368801s
790,5.554989641s
791,7.730979801s
792,17.895327345s
793,6.091539417s
794,11.767046307s
795,24.917264045s
796,14.994466842s
797,6.365823771s
798,48.991932445s
799,1m17.661791433s
800,13.328069717s
801,12.350727025s
802,3.857042071s
803,4.501500361s
804,1.270844402s
805,8.805225931s
806,2.787319244s
807,10.043437127s
808,21.813249853s
809,8.760665249s
810,19.973070954s
811,13.925812901s
812,14.32737461s
813,20.658727685s
814,25.844514891s
815,2.558910078s
816,32.65991003s
817,5.664306161s
818,5.308481564s
819,13.781103671s
820,45.955889973s
821,21.756120251s
822,13.791200179s
823,878.199632ms
824,5.300258148s
825,15.513655075s
826,9.344842449s
827,3.807589951s
828,5.760700541s
829,21.719816967s
830,1.203837638s
831,8.044912379s
832,1.896358921s
833,3.862715369s
834,14.554249815s
835,1.301838197s
836,19.650259355s
837,4.161008011s
838,1.240411932s
839,5.174306985s
840,24.172680113s
841,19.695401217s
842,5.206529944s
843,9.401250795s
844,4.122229337s
845,53.480964181s
846,11.41257613s
847,16.888215874s
848,17.932621935s
849,15.001958937s
850,1m3.925670544s
851,4.338329293s
852,17.692395994s
853,5.040224023s
854,7.203825046s
855,8.155494202s
856,1.444459782s
857,15.171042303s
858,1.096779589s
859,28.549335864s
860,19.738706607s
861,6.925131075s
862,5.050792078s
863,15.225015432s
864,10.503209854s
865,38.310300927s
866,1.94790595s
867,2.417822184s
868,13.848666383s
869,13.636420982s
870,9.166748389s
871,10.081473775s
872,17.449288576s
873,7.290899163s
874,1.144576431s
875,2.491673827s
876,6.847830736s
877,1.184314519s
878,9.35260635s
879,31.743839056s
880,2.586695746s
881,37.010520806s
882,1m12.345938121s
883,20.581453624s
884,16.529909265s
885,2.329083754s
886,2.005876098s
887,10.18649969s
888,27.223437468s
889,1.122862208s
890,13.816369373s
891,831.112519ms
892,27.090168s
893,5.566883831s
894,3.274871716s
895,2.034763386s
896,2.776259437s
897,5.374584694s
898,4.490046977s
899,301.682774ms
900,5.220655941s
901,4.280240365s
902,2.229765481s
903,8.554748857s
904,12.381720691s
905,14.069388162s
906,1.36860565s
907,27.890646346s
908,27.748610893s
909,6.134276619s
910,16.557563434s
911,24.960459339s
912,3.617478331s
913,29.12937542s
914,21.62630551s
915,5.935060954s
916,24.511590144s
917,5.449037006s
918,30.235308673s
919,29.240716308s
920,5.114036956s
921,10.283082818s
922,1.376294902s
923,2.319342508s
924,6.408300757s
925,8.458836313s
926,2.983340621s
927,3.286029505s
928,8.814296756s
929,21.209199014s
930,9.615373981s
931,34.014783964s
932,640.615249ms
933,8.668811082s
934,893.437666ms
935,36.271389467s
936,5.849461293s
937,2.749094185s
938,8.715778265s
939,5.516692366s
940,4.065923626s
941,236.634776ms
942,25.737274152s
943,6.9144389s
944,33.546068671s
945,3.121741862s
946,4.434824094s
947,3.545100675s
948,38.074610505s
949,19.913019536s
950,5.100004098s
951,7.245242763s
952,30.366791979s
953,1.949650119s
954,5.972334878s
955,21.782843707s
956,31.151286908s
957,19.861727058s
958,5.050333086s
959,11.390626655s
960,26.398413444s
961,5.173863437s
962,24.348144092s
963,11.953679128s
964,2.717338682s
965,56.101397202s
966,4.869814633s
967,341.015914ms
968,21.453553229s
969,2.420285117s
970,27.130459264s
971,35.074699349s
972,7.53202248s
973,13.458839352s
974,13.41060439s
975,34.968369363s
976,12.346701389s
977,13.42869942s
978,8.850812495s
979,9.631447055s
980,3.132150745s
981,17.973778413s
982,1.625544925s
983,40.107982684s
984,25.643089472s
985,473.716435ms
986,2.119675202s
987,1.776952252s
988,17.424837551s
989,23.485522481s
990,5.487454152s
991,9.183183667s
992,46.776295651s
993,537.712768ms
994,16.146201124s
995,6.617832842s
996,7.854948341s
997,12.259544453s
998,25.225083869s
999,121.699839ms
1000,1.626323477s
1001,26.80660046s
1002,13.758254791s
1003,32.594907425s
1004,5.284582951s
1005,1.522945267s
1006,9.926582529s
1007,6.296930933s
1008,917.635174ms
1009,5.205480726s
1010,7.532248889s
1011,1.784736864s
1012,14.861056207s
1013,3.196348s
1014,36.508412623s
1015,10.78916806s
1016,4.6627365s
1017,30.250491388s
1018,6.158566322s
1019,15.164375366s
1020,5.673435306s
1021,46.652363166s
1022,74.847034ms
1023,49.829032909s
1024,21.324220348s
1025,1.867326427s
1026,33.4449496s
1027,21.496785781s
1028,1.755783617s
1029,5.046209924s
1030,2.569287896s
1031,3.953612089s
1032,15.8126956s
1033,10.983719746s
1034,4.526615949s
1035,10.734681761s
1036,4.61130162s
1037,6.236265603s
1038,11.810102639s
1039,2.656331134s
1040,7.556214785s
1041,15.298489329s
